lambda,beta,intercept,converged_iter,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,p,n,d,g
0.021544346900318832,"[ 0.52798371  0.          1.72840328  2.93549729  0.47226431  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.37128966  1.51878165  0.
  0.          0.         -0.43247521  0.          0.          0.
  0.          0.          0.8907374   0.30162685  2.34214737  1.50966312
  0.          0.          0.          0.         -0.11772355 -0.61249818
  0.          0.          0.          0.          1.3057903  -0.09273078
 -2.48610882 -0.05069293  0.          0.          0.          0.46645302
  0.          0.          0.          0.         -0.93887701 -0.73859734
  0.44456318  1.18245289  0.          0.63328987  0.          1.46375649
  0.          1.24098004  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          1.13345788  0.91429478  0.          0.          0.
  0.          0.          0.91694856  0.          0.06791525  0.
 -0.52964273  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",-1.1996031010906298,0,0.64,0.6116666666666666,0.6,0.6,0.6,0.6,0.5,50,100,0
0.001,"[ 1.49366524  0.          0.          0.          0.          0.
  0.          1.74320097  0.          0.32059082  0.          0.
  0.          2.60017229  0.          0.          0.          0.
 -0.99104271  0.90370891  0.         -1.51436291 -0.10600829  0.
 -1.89221842  0.          0.          0.          0.          0.
 -1.73138346  0.          0.          0.          0.17476957  0.
  0.         -3.35013843  0.          0.          0.          0.55676471
  0.         -0.32905388 -2.38825534  0.42553323  0.          1.81881195
  0.          0.          0.          0.          0.          0.
  0.          0.         -1.21863726  0.          0.          0.46283471
  0.          0.98321057  0.          0.          0.         -0.88677969
  0.81512742  0.5399517   0.         -0.14960769 -0.01338215  0.
  0.          0.          2.11534063 -1.4891319   0.          0.
  0.         -1.88159873  0.          0.          0.          0.
  0.          0.          4.51577819  0.          0.          1.715583
  0.          0.         -1.86194936 -0.49248908  0.          0.
 -1.62545204  0.          0.          0.        ]",0.33223981350082443,0,0.9166666666666667,0.9583333333333333,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,0.5,50,100,0
0.007742636826811269,"[ 0.68697375  0.          1.45950782  0.          0.          0.
  0.         -2.67235679  1.89613665  0.22549285  0.          1.19399911
  0.          0.         -0.59053432  0.         -0.62553843  0.
 -0.4460956   1.27658566  0.          0.          0.         -1.22857662
 -0.76395391  0.16703348  0.13013607  0.          0.          0.
  0.74438281  0.          0.          1.41233799  0.          0.8719655
  0.          0.93647525 -0.33590839  0.         -0.84079641 -0.31575973
  0.          0.          0.          0.          1.6359652   0.53139174
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.06181609
 -1.92845993  0.          0.          0.          0.          0.
  0.          0.          1.40815657  0.         -0.69111459  0.
  0.          1.07112875  0.          0.          0.          0.
  0.          0.25679286 -1.46695276  0.          0.5271094   0.
 -1.55041049  0.          0.          0.          0.          0.
  0.05858481  0.          0.          0.          1.08196297  0.
 -1.13671384  0.         -1.25853632  0.        ]",0.17387928106600303,0,0.625,0.6527777777777777,0.42857142857142855,0.75,0.5454545454545454,0.5416666666666666,0.5,50,100,0
3.593813663804626,"[ 0.44568421  0.          0.          0.          0.          0.
  0.          0.33562034  0.12128667  0.          0.02111544  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.16117358  0.          0.          0.          0.
  0.          0.          0.          0.          0.02117039  0.
  0.          0.          0.          0.          0.          0.
  0.01558978  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         -0.03951261  0.          0.          0.
 -0.26282485  0.          0.          0.          0.          0.
 -0.39379371  0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.0709511   0.
  0.22774277  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",0.6281883604228401,18,0.625,0.6527777777777777,0.4,0.5,0.4444444444444444,0.5,0.5,50,100,0
3.593813663804626,"[ 0.77305306  0.          0.1976863   0.          0.          0.
  0.          0.18273952  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 -0.04147503  0.          0.          0.         -0.14902868  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.14731914  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.14805833  0.          0.          0.         -0.11261555
  0.          0.          0.          0.         -0.12441027  0.
  0.          0.          0.          0.02827398  0.          0.
  0.          0.00197513  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",-0.22360163155460822,12,0.92,0.9266666666666665,0.75,0.6,0.6666666666666666,0.7,0.5,50,100,0
3.593813663804626,"[ 0.          0.          0.          0.          0.          0.
  0.         -0.31044681  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.08603558  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.16150113  0.          0.20955666  0.          0.          0.
  0.          0.          0.          0.0425007   0.         -0.16341372
  0.         -0.16831249  0.          0.          0.          0.
  0.          0.          0.09076358  0.          0.          0.
  0.          0.12839495  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.59985657  0.          0.        ]",0.14743621040325317,15,0.5599999999999999,0.6644444444444444,0.5,0.6,0.5454545454545454,0.5,0.5,50,100,0
3.593813663804626,"[ 0.68889407  0.          0.45943198  0.          0.          0.
  0.08885299  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         -0.07220014  0.          0.20396416
  0.          0.          0.          0.          0.          0.
  0.          0.          0.         -0.06799069  0.          0.
  0.19515867  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.00548682  0.
  0.          0.04651197  0.         -0.10026852  0.          0.
  0.          0.          0.          0.          0.         -0.04072339
  0.          0.          0.          0.          0.         -0.15763568
  0.          0.          0.          0.        ]",-0.22390855207047222,21,1.0,1.0,1.0,1.0,1.0,1.0,0.5,50,100,0
3.593813663804626,"[ 1.07600209  0.          0.          0.          0.          0.31487953
  0.          0.          0.          0.30518299  0.          0.01317197
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.24193958  0.
  0.          0.         -0.20206172  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.22572634  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]",-0.7503761566770583,8,0.625,0.9085317460317461,0.8333333333333334,0.625,0.7142857142857143,0.5625,0.5,50,100,0
0.001,"[ 3.41308209  5.67028629  0.          0.          2.53730275  1.52435058
  0.          0.          0.12552194  0.          0.          0.
 -1.2770533   0.          0.          0.          0.457697   -3.17702459
  0.          0.          1.68767332  0.          1.3616267  -0.06147976
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.16491389  0.          0.
  0.          0.          0.          0.          0.          1.36505567
  0.19163075  0.          0.          0.          0.          0.
 -3.52725105  0.          0.          0.          0.          1.65064637
  0.          0.          0.62760011  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.18243906
  0.          0.         -0.17044654  0.         -1.46295139  0.
  0.          0.          0.          0.         -1.82877847  0.05487092
  0.          1.40680898  0.          0.          0.          0.
 -1.46434421 -0.79805591  0.          0.         -0.27287046  0.
  1.41486025  0.08808677  0.79622501  0.        ]",-4.693953323948628,0,0.761904761904762,0.8736394557823128,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7619047619047619,0.5,50,100,0
3.593813663804626,"[ 0.27709867  0.          0.          0.          0.         -0.02861035
  0.          0.          0.          0.          0.          0.02978534
  0.          0.          0.          0.          0.          0.147107
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.18808591  0.09225723  0.          0.
 -0.19243927  0.27291392  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.07191255  0.
  0.          0.          0.          0.          0.          0.
 -0.00069874 -0.03725308  0.          0.          0.          0.
  0.          0.          0.          0.24616997  0.          0.
  0.          0.          0.0859231   0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.29410377
  0.          0.          0.          0.        ]",0.8150968444069596,20,0.6666666666666667,0.47619047619047616,0.3,1.0,0.46153846153846156,0.5,0.5,50,100,0
