lambda,beta,intercept,converged_iter,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,p,n,d,g
0.001,"[ 1.26625694  0.90199744  0.36797107  0.15478767  0.3869913  -0.08247501
  0.02776329  0.24535058  0.01675116  0.01391502  0.08860507  0.01662029
  0.21208022  0.21620788  0.00208222  0.38373937]",-0.17952371176657303,12,0.85,0.8934523809523809,0.7777777777777778,0.7,0.7368421052631579,0.75,0.5,100,16,0
0.0027825594022071257,"[ 1.26568713  0.90156795  0.36776941  0.15461509  0.38674174 -0.08221736
  0.02745636  0.24500248  0.01646013  0.01380115  0.08840749  0.01640076
  0.21187645  0.21595676  0.00180392  0.38335291]",-0.17953342492547672,12,0.85,0.8934523809523809,0.7777777777777778,0.7,0.7368421052631579,0.75,0.5,100,16,0
0.007742636826811269,"[ 1.26410557e+00  9.00375199e-01  3.67208973e-01  1.54135697e-01
  3.86048640e-01 -8.15010189e-02  2.66027093e-02  2.44035468e-01
  1.56509154e-02  1.34847066e-02  8.78585017e-02  1.57906225e-02
  2.11311019e-01  2.15259196e-01  1.03010310e-03  3.82279840e-01]",-0.17956043545321126,12,0.85,0.8934523809523809,0.7777777777777778,0.7,0.7368421052631579,0.75,0.5,100,16,0
0.021544346900318832,"[ 1.25960013  0.89734808  0.36573523  0.15295297  0.3840514  -0.07960208
  0.02448127  0.2412246   0.01349949  0.01253885  0.08640828  0.01412634
  0.20955879  0.21351173  0.          0.37925905]",-0.17968956819133267,11,0.85,0.8934523809523809,0.7777777777777778,0.7,0.7368421052631579,0.75,0.5,100,16,0
0.05994842503189409,"[ 1.24694573  0.88974339  0.36188718  0.15007378  0.37835638 -0.07457805
  0.01923909  0.23315913  0.00779631  0.00974942  0.08260035  0.00960845
  0.20428793  0.20917316  0.          0.37085013]",-0.1801784798039878,11,0.85,0.8934523809523809,0.7777777777777778,0.7,0.7368421052631579,0.75,0.5,100,16,0
0.1668100537200059,"[ 1.21511846  0.8686339   0.35170801  0.14266543  0.36405909 -0.0619147
  0.00577529  0.21228761  0.          0.00190643  0.07319924  0.
  0.19055059  0.19850233  0.          0.34913574]",-0.18115428010830695,11,0.85,0.8934523809523809,0.7777777777777778,0.7,0.7368421052631579,0.75,0.5,100,16,0
0.46415888336127775,"[ 1.14240647  0.81419699  0.32299417  0.12453808  0.33335533 -0.02957013
  0.          0.16634717  0.          0.          0.05123156  0.
  0.15530304  0.17388114  0.          0.30326592]",-0.18078398816704905,10,0.84,0.8891666666666665,0.7,0.7,0.7,0.7,0.5,100,16,0
1.2915496650148828,"[0.97616531 0.70891864 0.24835572 0.08609095 0.26607737 0.
 0.         0.07303269 0.         0.         0.         0.
 0.07754662 0.11303855 0.         0.20248276]",-0.17746104128487217,9,0.84,0.8891666666666665,0.6363636363636364,0.7,0.6666666666666666,0.6499999999999999,0.5,100,16,0
3.593813663804626,"[0.69021135 0.52930184 0.09391879 0.02334223 0.14648931 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02207682]",-0.1713544318410383,7,0.7999999999999999,0.8366013071895425,0.6363636363636364,0.7,0.6666666666666666,0.6499999999999999,0.5,100,16,0
10.0,"[0.31537875 0.2051985  0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",-0.15504777096649283,4,0.78,0.8245378151260504,0.7,0.7,0.7,0.7,0.5,100,16,0
0.001,"[ 1.45452894  0.8609911  -0.64911425  0.79416585  0.2571767  -0.52236556
 -0.56122872  0.06095092 -0.11526794  0.16982105  0.67389758  0.26436602
  0.44185478  0.6333805   0.66755531  0.51132492]",0.47956328808152043,25,0.63,0.694176145491935,0.5454545454545454,0.6,0.5714285714285714,0.55,0.5,100,16,0
0.0027825594022071257,"[ 1.45362915  0.86033534 -0.64837635  0.79336113  0.25699845 -0.52177482
 -0.56059818  0.06085917 -0.11481822  0.16970458  0.67323828  0.26390048
  0.44121944  0.63265534  0.66667586  0.51046288]",0.47936895295967313,25,0.63,0.694176145491935,0.5454545454545454,0.6,0.5714285714285714,0.55,0.5,100,16,0
0.007742636826811269,"[ 1.45113517  0.85851874 -0.64633059  0.79113087  0.25650289 -0.5201351
 -0.55884945  0.06060499 -0.11357156  0.16938091  0.67141187  0.26260931
  0.4394585   0.6306445   0.66423825  0.50807481]",0.47883092298582913,25,0.63,0.694176145491935,0.5454545454545454,0.6,0.5714285714285714,0.55,0.5,100,16,0
0.021544346900318832,"[ 1.44426899  0.85352532 -0.64069457  0.78499317  0.25512761 -0.51560318
 -0.55402707  0.05990663 -0.11013908  0.16848352  0.66639143  0.25904916
  0.43461084  0.62510213  0.65752768  0.50151064]",0.4773543818318854,24,0.63,0.694176145491935,0.5454545454545454,0.6,0.5714285714285714,0.55,0.5,100,16,0
0.05994842503189409,"[ 1.42572021  0.8400911  -0.62543831  0.76842525  0.25132621 -0.5032261
 -0.54093868  0.05802662 -0.10085894  0.16600903  0.65288614  0.24938709
  0.42151628  0.61007906  0.63939765  0.48384961]",0.47339979407586713,24,0.63,0.6916455766455766,0.5454545454545454,0.6,0.5714285714285714,0.55,0.5,100,16,0
0.1668100537200059,"[ 1.37796332  0.80591231 -0.58593687  0.72593352  0.24093575 -0.47045105
 -0.50681861  0.05323243 -0.07695853  0.15927333  0.61852406  0.22424317
  0.38782347  0.57107646  0.59272414  0.43892887]",0.46345184061322975,23,0.63,0.6916455766455766,0.5454545454545454,0.6,0.5714285714285714,0.55,0.5,100,16,0
0.46415888336127775,"[ 1.26787516  0.72985149 -0.49339943  0.62985849  0.21324191 -0.38991103
 -0.42563024  0.04234629 -0.02230365  0.14132695  0.54182074  0.16514453
  0.31030446  0.47962781  0.48521323  0.33911701]",0.4418462454004832,21,0.63,0.6916455766455766,0.5,0.5,0.5,0.5,0.5,100,16,0
1.2915496650148828,"[ 1.040943    0.60536983 -0.29834887  0.48226673  0.15064794 -0.21949909
 -0.2482362   0.03969979  0.          0.09141038  0.39138269  0.06853998
  0.14875394  0.30012532  0.27162883  0.16981534]",0.4032046991116367,16,0.65,0.6994007299889653,0.5555555555555556,0.5,0.5263157894736842,0.55,0.5,100,16,0
3.593813663804626,"[0.69323548 0.43258382 0.         0.30367464 0.02184688 0.
 0.         0.         0.         0.         0.17213918 0.
 0.         0.03775955 0.         0.        ]",0.3583506704438867,5,0.6299999999999999,0.7165126050420167,0.625,0.5,0.5555555555555556,0.6,0.5,100,16,0
10.0,"[0.31844253 0.11492355 0.         0.01838248 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.31287097485547366,4,0.6699999999999999,0.7108836996336996,0.5333333333333333,0.8,0.64,0.55,0.5,100,16,0
0.001,"[ 1.7397451   0.38847383  0.38215849  1.11589244 -0.05043716  0.09285995
  0.00647428 -0.2892772   0.33503674 -0.14934437 -0.24120021  0.2758871
  0.13489995 -0.08472857  0.06782966  0.98641106]",-0.11823192007742322,23,0.5833333333333334,0.6638417750550103,0.6,0.5,0.5454545454545454,0.5,0.5,100,16,0
0.0027825594022071257,"[ 1.73859581  0.38785394  0.38156937  1.1149654  -0.04988238  0.09200806
  0.00628791 -0.28866409  0.3349494  -0.14883488 -0.24024304  0.27499782
  0.13476398 -0.08451282  0.06752083  0.98549481]",-0.11806666640176965,22,0.5833333333333334,0.6638417750550103,0.6,0.5,0.5454545454545454,0.5,0.5,100,16,0
0.007742636826811269,"[ 1.73541708  0.38613771  0.37993948  1.11239793 -0.04834454  0.08964954
  0.00576893 -0.28696639  0.33470725 -0.14742232 -0.23759167  0.27253488
  0.13438657 -0.08391215  0.06666497  0.98295772]",-0.11761067202350985,22,0.5833333333333334,0.6638417750550103,0.6,0.5,0.5454545454545454,0.5,0.5,100,16,0
0.021544346900318832,"[ 1.7267066   0.38141134  0.37546325  1.10533794 -0.04409601  0.08316469
  0.00432649 -0.28230134  0.33404075 -0.14352708 -0.23030436  0.26576656
  0.13334964 -0.08224173  0.06430599  0.9759825 ]",-0.11636798544636123,22,0.5833333333333334,0.6638417750550103,0.6,0.5,0.5454545454545454,0.5,0.5,100,16,0
0.05994842503189409,"[ 1.70346800e+00  3.68626000e-01  3.63445329e-01  1.08631726e+00
 -3.25041700e-02  6.57001002e-02  3.25305920e-04 -2.69759055e-01
  3.32236964e-01 -1.32949424e-01 -2.10698517e-01  2.47566277e-01
  1.30563457e-01 -7.76032655e-02  5.79088043e-02  9.57202226e-01]",-0.11310488113051101,21,0.5833333333333334,0.6638417750550103,0.6,0.5,0.5454545454545454,0.5,0.5,100,16,0
0.1668100537200059,"[ 1.64617881  0.33487637  0.33258065  1.03881347  0.          0.01975946
  0.         -0.23699902  0.32864459 -0.1049621  -0.16157544  0.20239311
  0.12524534 -0.0668491   0.03992412  0.90948792]",-0.10388746385169023,17,0.5833333333333334,0.6638417750550103,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5416666666666667,0.5,100,16,0
0.46415888336127775,"[ 1.52726899  0.30243691  0.28069445  0.94779777  0.          0.
  0.         -0.17102177  0.2882998  -0.05564941 -0.06737244  0.12088838
  0.08707989 -0.04653163  0.          0.81614112]",-0.0894058919099124,12,0.5729166666666667,0.6249528861661213,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5416666666666667,0.5,100,16,0
1.2915496650148828,"[ 1.29809108  0.2437989   0.17872663  0.78266711  0.          0.
  0.         -0.06093773  0.21958844  0.          0.          0.
  0.0238089  -0.01235446  0.          0.64119086]",-0.07037144163080251,10,0.5833333333333334,0.630508441721677,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5,100,16,0
3.593813663804626,"[0.96666606 0.12603711 0.         0.50595877 0.         0.
 0.         0.         0.0577296  0.         0.         0.
 0.         0.         0.         0.34943859]",-0.06016505362365553,6,0.6041666666666667,0.645885425848661,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5416666666666667,0.5,100,16,0
10.0,"[0.51473104 0.         0.         0.11158818 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",-0.054284273920099886,3,0.6875,0.7628361834244187,0.6666666666666666,0.5,0.5714285714285714,0.5625,0.5,100,16,0
0.001,"[ 2.8973444   1.61175941  0.50898952  0.57788968  0.16182591  0.98956441
  1.49803712 -0.06537769  0.03044513  1.07160702  0.10856839  0.24801638
  0.00827575  1.27824608 -0.90829346 -0.29022516]",0.5498083554793648,60,0.8700000000000001,0.8362626262626262,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
0.0027825594022071257,"[ 2.89278247  1.60798332  0.50767177  0.57636095  0.16211023  0.98800627
  1.49425792 -0.06538715  0.02954363  1.06952927  0.10708985  0.24649694
  0.00663665  1.27609318 -0.9061903  -0.28897201]",0.5488741422949656,60,0.8700000000000001,0.8362626262626262,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
0.007742636826811269,"[ 2.88021993e+00  1.59758091e+00  5.04041184e-01  5.72152264e-01
  1.62881392e-01  9.83709748e-01  1.48384529e+00 -6.54008980e-02
  2.70501668e-02  1.06379559e+00  1.03011906e-01  2.42299647e-01
  2.12529445e-03  1.27016582e+00 -9.00383742e-01 -2.85522981e-01]",0.5463045988763668,58,0.8700000000000001,0.8362626262626262,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
0.021544346900318832,"[ 2.8451506   1.57341333  0.49424583  0.5621874   0.16055498  0.97155284
  1.45832146 -0.06333508  0.01978421  1.05052293  0.09460493  0.2334006
  0.          1.25534872 -0.88463976 -0.27789354]",0.5390096694165238,54,0.8700000000000001,0.8362626262626262,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
0.05994842503189409,"[ 2.75333145e+00  1.51258680e+00  4.68729522e-01  5.37059453e-01
  1.51875939e-01  9.39319561e-01  1.39291214e+00 -5.64969321e-02
  1.68162091e-04  1.01689574e+00  7.39123813e-02  2.11105221e-01
  0.00000000e+00  1.21759806e+00 -8.43242367e-01 -2.59018056e-01]",0.5200836489384696,50,0.8700000000000001,0.8362626262626262,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
0.1668100537200059,"[ 2.54227686  1.37665063  0.41178864  0.46685379  0.1392328   0.86585963
  1.25013459 -0.02663144  0.          0.93766499  0.04208724  0.16617183
  0.          1.12541201 -0.75250624 -0.22011814]",0.477259608426773,41,0.8600000000000001,0.8243578643578643,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
0.46415888336127775,"[ 2.13230595  1.10951209  0.30131317  0.33372011  0.10772008  0.71339696
  0.98217216  0.          0.          0.79226354  0.          0.06630207
  0.          0.96138    -0.55920654 -0.12567866]",0.3995139279268483,28,0.8700000000000001,0.8493578643578643,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
1.2915496650148828,"[ 1.59438828  0.72940298  0.13421117  0.16678226  0.0400388   0.45875777
  0.6380507   0.          0.          0.59387937  0.          0.
  0.          0.73019777 -0.27813136  0.        ]",0.3149320279487048,13,0.86,0.8429476079476079,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,16,0
3.593813663804626,"[1.06787925 0.33209093 0.         0.         0.         0.11738859
 0.28430136 0.         0.         0.35346753 0.         0.
 0.         0.47578922 0.         0.        ]",0.2591876618827289,9,0.81,0.8098151848151848,0.7272727272727273,0.8,0.7619047619047619,0.75,0.5,100,16,0
10.0,"[0.57797063 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.13532491 0.         0.        ]",0.21855005819158885,4,0.79,0.8077913752913752,0.6666666666666666,0.8,0.7272727272727273,0.7,0.5,100,16,0
0.001,"[ 1.44824397  0.64774783  0.01436632 -0.17956692  0.18567921  1.06130688
  0.5243934   0.40038213  0.23980723  0.40533512  0.24531324  0.70795449
 -0.40212632 -0.4784673   0.45454047 -0.52942274]",0.20357152041001944,26,0.9583333333333334,0.9752747252747253,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
0.0027825594022071257,"[ 1.44723856  0.64732739  0.01408135 -0.1785754   0.18544436  1.06038523
  0.52365853  0.39968556  0.23940705  0.40491234  0.2450684   0.70718564
 -0.40159607 -0.47757264  0.45413973 -0.52867811]",0.20330907618749702,26,0.9583333333333334,0.9752747252747253,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
0.007742636826811269,"[ 1.44445197  0.64616085  0.01329067 -0.175825    0.18479273  1.05782982
  0.52162149  0.39775402  0.23829761  0.40373927  0.24438948  0.70505297
 -0.40012557 -0.47509082  0.45302844 -0.52661272]",0.20258278694474582,26,0.9583333333333334,0.9752747252747253,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
0.021544346900318832,"[ 1.43678203  0.64294033  0.01110791 -0.16823669  0.18299383  1.05078846
  0.51601247  0.39243049  0.23524212  0.40050038  0.24251838  0.69916957
 -0.39607126 -0.468243    0.44996498 -0.52091568]",0.2005921252341672,25,0.9583333333333334,0.9752747252747253,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
0.05994842503189409,"[ 1.41607821  0.63417274  0.0051669  -0.1476177   0.17809314  1.03172186
  0.50085348  0.37800543  0.22697591  0.39168115  0.23744693  0.68318615
 -0.38507439 -0.44962724  0.44165992 -0.5054433 ]",0.19528167318981016,25,0.9583333333333334,0.9752747252747253,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
0.1668100537200059,"[ 1.36411393  0.60916238  0.         -0.09351733  0.16404142  0.98341578
  0.46297547  0.34187401  0.20755645  0.36860074  0.22514682  0.63907004
 -0.35477618 -0.40273039  0.42070699 -0.464668  ]",0.1834691982015961,23,0.96875,0.9811507936507938,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
0.46415888336127775,"[ 1.25298756  0.55216108  0.          0.          0.12908664  0.87697463
  0.38532094  0.26343041  0.16215684  0.31447611  0.19721299  0.54158551
 -0.29230526 -0.30664644  0.37309757 -0.37542061]",0.16309917172361676,14,0.96875,0.9811507936507938,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
1.2915496650148828,"[ 1.06892316  0.45837809  0.          0.01211518  0.05686463  0.68518001
  0.26914624  0.12192142  0.05931254  0.20979852  0.13793842  0.38951356
 -0.21682838 -0.17306706  0.27415836 -0.22959531]",0.14139986297245674,15,0.96875,0.9811507936507938,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8541666666666667,0.5,100,16,0
3.593813663804626,"[ 0.81124764  0.27971283  0.          0.09443985  0.          0.35510679
  0.07542955  0.          0.          0.03176496  0.00650973  0.10161042
 -0.05764407  0.          0.06309765  0.        ]",0.11864624524375963,8,0.9375,0.9685457516339869,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,0.5,100,16,0
10.0,"[0.42050052 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.10578383279529727,3,0.9583333333333333,0.9791666666666669,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,0.5,100,16,0
0.001,"[ 0.98043707  0.3671469   0.44173156  0.11890191  0.23987724  0.31675081
  0.14144106  0.59665698  0.82520576  0.57301905 -0.1416337  -0.3072859
 -0.09653654  0.20266838  0.15812852  0.26027397]",-0.10511300014457677,21,0.7912087912087913,0.8858161948659684,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
0.0027825594022071257,"[ 0.97964227  0.36701786  0.44134568  0.11868874  0.23951187  0.31636987
  0.14134681  0.59616468  0.82454529  0.57256091 -0.14106708 -0.30686699
 -0.09635582  0.20229256  0.15790712  0.2598091 ]",-0.10506093287325403,21,0.7912087912087913,0.8858161948659684,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
0.007742636826811269,"[ 0.97743724  0.36665997  0.44027377  0.11809725  0.2384966   0.31531177
  0.14108426  0.59479868  0.82271383  0.57129012 -0.13949396 -0.3057048
 -0.09585343  0.20124892  0.15729215  0.25851763]",-0.10491649249327424,21,0.7912087912087913,0.8858161948659684,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
0.021544346900318832,"[ 0.97135196  0.36567325  0.43730536  0.11646408  0.23568213  0.31238205
  0.14035151  0.59102714  0.81766615  0.56778479 -0.13514395 -0.30249748
 -0.094459    0.19836104  0.15558935  0.25493958]",-0.10451793979577616,21,0.7912087912087913,0.8858161948659684,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
0.05994842503189409,"[ 0.95479826  0.36299626  0.42915232  0.11201589  0.22793053  0.30433936
  0.13829582  0.58075485  0.8039863   0.55826231 -0.12324561 -0.29377249
 -0.09060474  0.19044616  0.1509143   0.24510043]",-0.10343399148779514,20,0.8021978021978022,0.8932948273446009,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
0.1668100537200059,"[ 0.91147565  0.35603867  0.40723359  0.1003405   0.20694137  0.28275562
  0.13244651  0.55378774  0.76857224  0.53343479 -0.09163788 -0.2709319
 -0.08005964  0.16928342  0.1383611   0.21856527]",-0.10059378281795478,19,0.8021978021978022,0.8932948273446009,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
0.46415888336127775,"[ 0.80847648  0.3397733   0.35110448  0.07244818  0.15228574  0.22786621
  0.11525198  0.48927254  0.68717395  0.47504133 -0.01344193 -0.21648243
 -0.05176382  0.1157006   0.10633812  0.15010486]",-0.09373763290891553,16,0.8021978021978022,0.8996422381037763,0.75,0.6923076923076923,0.72,0.6318681318681318,0.5,100,16,0
1.2915496650148828,"[ 0.63288092  0.2975411   0.24176109  0.01755855  0.03617847  0.09440393
  0.02533749  0.3744233   0.54469168  0.38621903  0.         -0.13842691
  0.          0.03007037  0.05388775  0.02865979]",-0.07675968105356941,12,0.7912087912087913,0.8930183064798447,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6703296703296704,0.5,100,16,0
3.593813663804626,"[0.40736134 0.18121348 0.12066219 0.         0.         0.
 0.         0.19156529 0.3269493  0.22429262 0.         0.
 0.         0.         0.         0.        ]",-0.05745204374718871,8,0.7692307692307693,0.873480174795964,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.6703296703296704,0.5,100,16,0
10.0,"[0.05225877 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",-0.050046989239224585,2,0.6923076923076924,0.7874442676478877,0.75,0.23076923076923078,0.35294117647058826,0.5439560439560439,0.5,100,16,0
0.001,"[ 0.8620016   0.27218602  1.00430717  0.39959329 -0.4000701  -0.0164415
 -0.19940345  0.69788102 -0.16919775  0.32141209  0.69737604  0.20215916
  0.1046188   0.21903907  0.33883414 -0.05677985]",-0.15981548158919961,15,0.8928571428571429,0.876984126984127,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8452380952380952,0.5,100,16,0
