lambda,beta,intercept,converged_iter,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,p,n,d,g
3.593813663804626,"[ 1.02827841  0.34073112  0.          0.25533946  0.          0.
  0.          0.          0.          0.         -0.07726825  0.
 -0.13800424  0.30127695  0.30730127  0.          0.          0.25058304
  0.          0.          0.          0.          0.          0.
 -0.00228688  0.          0.          0.          0.         -0.06703807
  0.          0.        ]",-0.15829039970769396,9,0.88,0.8739213564213563,0.8181818181818182,0.9,0.8571428571428571,0.8500000000000001,0.5,100,32,0
10.0,"[5.10701196e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.40238714e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]",-0.1035317257181691,3,0.7395833333333334,0.8355967891184611,0.8181818181818182,0.75,0.782608695652174,0.75,0.5,100,32,0
0.46415888336127775,"[ 2.61337744  0.76138855  0.89864921  0.36900118  0.52649883  0.40616779
 -0.045207   -0.61422991  0.          1.18157053  0.          0.71180888
  0.72018202  0.36173653  0.18637314 -0.49074393  0.43210041  0.43340094
  0.56286686  0.          0.77322803  0.         -0.12889909  0.
 -0.24851608 -0.55477439  0.34989374  0.46369987  0.57611588 -0.04006873
 -0.09077226 -0.17090001]",-0.3776054480517095,62,0.8400000000000001,0.8854093567251461,1.0,0.5,0.6666666666666666,0.75,0.5,100,32,0
3.593813663804626,"[ 0.74290295  0.80994047  0.38351333 -0.15658221  0.          0.2052246
  0.          0.          0.          0.          0.          0.22539763
  0.          0.         -0.03277105  0.24243215  0.          0.
  0.          0.12312821  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.02842976]",-0.23329184759328775,8,0.8351648351648352,0.9124903753863027,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.7802197802197802,0.5,100,32,0
10.0,"[0.2533857 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.       ]",0.05052175602161847,2,0.9090909090909091,0.8953093203093205,0.8,0.8888888888888888,0.8421052631578947,0.8535353535353536,0.5,100,32,0
10.0,"[0.33727569 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]",0.052730664973851635,3,0.7362637362637363,0.8560776327744652,0.8,0.6153846153846154,0.6956521739130435,0.6648351648351649,0.5,100,32,0
0.001,"[ 1.4472838  -0.00345478  0.62179604  0.63017049 -0.11242504 -0.19657597
  0.31862042  0.37256129  0.13766642  0.65105699  0.22496484 -0.56250365
  0.64991095  0.17831756  0.44219217  0.26701676 -0.18451661 -0.42092684
  0.19140796 -0.12593633 -0.81808336  1.1208812   0.73778468  0.51409336
 -0.8305281   1.04448289 -0.88058501  0.31099784  0.28658456  0.62983926
 -0.30207783 -0.45517579]",-0.050004542231047215,63,0.8181818181818181,0.8404541446208114,0.7,0.7777777777777778,0.7368421052631579,0.7525252525252526,0.5,100,32,0
10.0,"[ 0.22155676  0.          0.          0.          0.          0.15693976
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -0.16347881
  0.          0.          0.          0.          0.          0.15869061
  0.03540364  0.          0.          0.          0.          0.
  0.          0.        ]",0.05222305929568833,5,0.88,0.853683261183261,0.8,0.8,0.8,0.8,0.5,100,32,0
10.0,"[0.41936385 0.25581625 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]",-0.05374507659984219,4,0.7878787878787878,0.780409867909868,0.8,0.7272727272727273,0.7619047619047619,0.7525252525252526,0.5,100,32,0
3.593813663804626,"[ 0.51107183  0.          0.14313624  0.          0.15533176  0.
  0.          0.          0.05739781  0.          0.          0.02554442
  0.25663845  0.          0.3309774   0.          0.          0.
  0.31096759 -0.02088854  0.05045328  0.          0.01610103 -0.07155603
  0.09685596  0.          0.          0.          0.23198864  0.
  0.          0.        ]",0.1027036215578516,10,0.7802197802197803,0.8966160473513414,0.8,0.6153846153846154,0.6956521739130435,0.6648351648351649,0.5,100,32,0
