lambda,beta,intercept,converged_iter,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,p,n,d,g
10.0,"[ 0.37876167  0.22260862  0.02950712  0.          0.          0.
  0.01755931  0.          0.06466088  0.          0.          0.
 -0.07823412  0.          0.          0.          0.          0.
 -0.17618387  0.          0.          0.03957088  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.        ]",-3.2567904687214426,9,0.7873303167420814,0.24180873527814972,1.0,0.0,0.0,0.5,0.05,1000,32,0
1.2915496650148828,"[ 1.18517344  0.33122835  0.13679189  0.06086226  0.42165728 -0.09415836
  0.14643046 -0.03436981  0.17769169  0.32276001  0.11106136  0.34723568
  0.26453579  0.17912816 -0.02935296  0.09875782  0.18345657  0.38675943
 -0.21069486 -0.12425685  0.08978982  0.30260454  0.01169014  0.
  0.01865036  0.12293614  0.19495655  0.09872584  0.02327084 -0.13590368
  0.          0.        ]",-4.0503029435212285,24,0.7835497835497836,0.23083698807949277,1.0,0.0,0.0,0.5,0.05,1000,32,0
10.0,"[ 0.73114199  0.00953973  0.          0.          0.04895621  0.
  0.          0.          0.          0.14537744  0.          0.
  0.          0.          0.          0.          0.07673817  0.
  0.          0.          0.02638877  0.          0.          0.
  0.         -0.11519312  0.          0.         -0.01642488  0.
  0.          0.        ]",-3.225209815650812,12,0.80859375,0.16064412611412737,1.0,0.0,0.0,0.5,0.05,1000,32,0
10.0,"[0.71803964 0.         0.19329546 0.03282674 0.02749829 0.
 0.         0.         0.         0.         0.         0.
 0.         0.15016868 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08067401 0.         0.         0.         0.         0.
 0.         0.        ]",-3.1055666506538704,12,0.7897984368572604,0.24153471314142833,1.0,0.0,0.0,0.5,0.05,1000,32,0
0.001,"[ 1.05305492  0.5431126   0.29755897  0.38912328  0.31134363  0.13618855
  0.10569053  0.41065636 -0.09545255  0.02570631  0.04816714 -0.15769772
  0.18619027 -0.06474992 -0.06578578  0.07882556  0.15298508 -0.14776625
  0.24367953  0.08931047  0.01263965  0.19690523  0.02528247  0.19953392
 -0.01275674  0.05856147 -0.37850406  0.04683923 -0.13424831 -0.46600697
 -0.03452497 -0.10320103]",-3.8577383752870187,25,0.48410256410256414,0.054965432799520236,0.0,0.0,0.0,0.49230769230769234,0.05,1000,32,0
1.2915496650148828,"[ 1.11364197  0.55253025  0.0975991   0.08801441  0.11588803  0.
 -0.06451518  0.0625844   0.07420567 -0.05868518  0.34189012 -0.38647465
  0.21950371  0.60576494  0.09851765  0.          0.          0.06116093
  0.          0.03952896  0.04427719 -0.1365149   0.0849084  -0.07139724
  0.15937942 -0.09115336  0.02613072  0.22520654 -0.20081856  0.2012027
  0.15523927  0.06799576]",-4.37668192447267,26,0.7187268689859364,0.11852244797915862,1.0,0.0,0.0,0.5,0.05,1000,32,0
10.0,"[0.3055489  0.18959967 0.06595439 0.         0.07468753 0.
 0.         0.         0.06035544 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.05188144]",-3.093804497549193,8,0.9020618556701031,0.33787669657234876,1.0,0.0,0.0,0.5,0.05,1000,32,0
3.593813663804626,"[ 0.6956735   0.39329411  0.28359702  0.16464923  0.33718268  0.
  0.          0.         -0.20973037  0.          0.          0.00235848
  0.18259234  0.          0.13675138  0.07627282  0.          0.
  0.          0.          0.          0.          0.          0.
  0.03254072  0.15525403  0.14722382  0.         -0.07567609  0.
 -0.11780922  0.        ]",-3.4165619772843545,15,0.8736979166666667,0.30499402558226085,1.0,0.0,0.0,0.5,0.05,1000,32,0
10.0,"[ 0.67394103  0.34278832  0.05272354  0.15484234  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.11104923  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.01891561]",-3.4050547623945966,12,0.8432743726861374,0.2258902421943662,1.0,0.0,0.0,0.5,0.05,1000,32,0
10.0,"[0.91722865 0.24488411 0.34885983 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.07411358 0.
 0.         0.        ]",-3.377577174531252,15,0.9023569023569022,0.4265510930635815,1.0,0.09090909090909091,0.16666666666666666,0.5454545454545454,0.05,1000,32,0
