Betas,Intercept,Iterations,Balanced Accuracy,Roc_Auc,p,n,d,g
"[[ 1.14216164  0.86863861  0.          0.          0.59465208  0.
  -0.42635534  0.074084    0.63841612  0.         -0.40573239  0.33127391
   0.          0.          0.          0.          0.          0.
   0.14183565  0.          0.          0.5042443  -0.26646026  0.65217627
   0.          0.          0.44028155  0.          0.         -0.14887912
   0.         -0.24785968  0.          0.18662724  0.         -0.20897819
   0.          0.37383389  0.19560659  0.          0.          0.
  -0.24672206 -0.16310483  0.          0.          0.          0.
   0.12498744  0.         -0.15426744  0.         -0.45144228  0.
   0.22118973  0.         -0.00218817  0.12469488  0.          0.
   0.          0.          0.          0.         -0.13512429  0.
   0.          0.          0.55089688  0.          0.         -0.55712366
   0.04013691  0.          0.30811918  0.          0.          0.60127902
   0.          0.          0.         -0.11300514 -0.00345882 -0.83297151
   0.          0.          0.          0.          0.         -0.11239207
   0.25989075 -0.08435385  0.          0.          0.          0.33315459
  -1.01981093  0.32668091  0.          0.01915196]]",[-0.04318718],[15],0.7,0.7,0.5,100,100,0
"[[ 1.23945135  0.39483131  0.          0.          0.          0.09911627
   0.          0.         -0.05461036  0.          0.2083223   0.
   1.01123625  0.          0.          0.          0.65914848  0.
   0.          0.          0.08839587  0.          0.          0.
   1.08176557  0.          0.          0.4247482   0.10360197  0.
   0.          0.         -0.10651629  0.         -0.12188926  0.41486867
   0.2659353   0.          0.          0.         -0.37741166  0.
   0.06927181  0.          0.34486023  0.          0.          0.01812868
  -0.08145366  0.          0.          0.          0.         -0.08031814
   0.2892394   0.          0.          0.         -0.42522767  0.08241206
   0.33423711 -0.75062966  0.          0.          0.          0.04120736
   0.          0.         -0.03123953  0.          0.33635158  0.01911891
   0.         -0.22151637  0.         -0.40466436  0.          0.
   0.          0.          0.         -0.08320559 -0.03382727  0.
  -0.01613068  0.03609223  0.          0.          0.         -0.37508297
   0.         -0.06204225  0.01870245  0.          0.          0.
   0.59481655  0.          0.         -0.78386518]]",[-0.67879408],[13],0.5879120879120879,0.5879120879120879,0.5,100,100,0
"[[ 1.27810764  0.          0.          0.32361827  1.03963204  0.09955692
   0.51149485  0.          0.          0.4217061   0.41587975 -0.13113556
   0.          0.          0.34622667  0.          0.          0.
   0.61082052  0.          0.          0.          0.         -0.80427885
   0.          0.72777284  0.          0.00387415 -0.21337485 -0.25353784
   0.          0.          0.          0.17420877  0.          0.
   0.          0.         -0.07061884  0.          0.          0.
   0.          0.          0.          0.50454339  0.02580267  0.
   0.         -0.08790312  0.64217352  0.          0.          0.
   0.          0.          1.5352412   0.08348531  0.          0.
   0.          0.          0.         -0.42290667  0.          0.13998978
   0.          0.          0.18567559  0.17849455  0.         -0.06918234
   0.         -0.0494493  -0.00167122  0.          0.          0.
  -0.0660292   0.          0.          0.          0.          0.
  -0.17110242  0.          0.          0.17393015  0.          0.
   0.76659475  0.         -0.02696962  0.          0.          0.
   0.          0.          0.          0.        ]]",[0.],[12],0.7424242424242424,0.7424242424242425,0.5,100,100,0
"[[ 1.1300542   0.73719804  0.53244266  0.76079111  0.          0.
   0.22349011  0.04103632  0.          0.30026081 -0.22624898  0.97782211
   0.          0.          0.71207096  0.03616243  0.          0.
   0.          0.          0.         -0.13242682  0.          0.
   0.          0.          0.5065462   0.          0.13157906  0.63621483
   0.          0.          0.16178775  0.          0.          0.
   0.          0.         -0.4277017  -0.32755562  1.05782166  0.
   0.          0.         -0.24996046 -0.18024525  0.236688    0.
  -0.23266343  0.          0.         -0.07742087  0.          0.
   0.         -0.3868953   0.12888026  0.         -0.01328434  0.
   0.          0.          0.          0.23521904  0.          0.
   0.         -0.24102612  0.          0.          0.          0.
   0.         -0.30055681  0.         -0.0741786   0.          0.
   0.          0.19490874 -0.15058059 -0.16472309  0.          0.
   0.02349538  0.          0.56215349 -0.05338713  0.          0.
   0.          0.          0.          0.          0.         -0.03233829
   0.          0.03203718  0.         -0.69305893]]",[-0.53896676],[13],0.898989898989899,0.898989898989899,0.5,100,100,0
"[[ 1.76248492  1.26054866  0.49585994  1.23465755  0.19948346  0.
   0.          0.24044356  0.          0.          0.16853977  0.
   0.          0.          0.          0.          0.          0.
   0.0208491   0.          0.          0.          0.          0.
   0.49749978  0.34552815  0.          0.          0.          0.41433061
  -0.31242501  0.          0.          0.          0.91791752 -0.04073152
   0.          0.         -0.02019675  0.          0.          0.37050994
  -0.9435512  -0.5543601   0.         -0.1362148   0.          0.17210421
   0.         -0.29641963  0.          0.         -0.00926787  0.
   0.          0.         -0.11337794  0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.         -0.15752496  0.         -0.0275279
   0.          0.          0.14976766  0.          0.41584691  0.
   0.00552068  0.11454041  0.02175162  0.27210897  0.          0.16921091
   0.          0.02837477  0.19945488  0.16155783  0.          0.
   0.          0.          0.0109731   0.          0.          0.
   0.          0.          0.         -0.06143253]]",[-0.03900644],[13],0.7626262626262625,0.7626262626262625,0.5,100,100,0
"[[ 2.0381923   0.60516187  0.          0.          0.          1.03337255
   0.          0.17617058 -0.54951157 -0.10497353  0.          0.
  -0.36548132  0.          0.         -0.01255609 -0.34381366  0.
   0.          0.         -0.43808968 -0.28791003  0.          0.
  -0.24665185  0.         -0.29057035  0.          0.          0.
  -0.05024633  0.          0.         -0.14002391  0.07081301  0.
  -0.36263834  0.          0.         -0.1698528   0.          0.
  -0.75020076  0.          0.          0.          0.          0.
   0.          0.0048645   0.          0.45303959  0.          0.
  -0.19240964 -0.20839511  0.          0.05193732  0.          0.18191364
   0.         -0.55517438  0.          0.          0.          0.
  -0.16205352  0.611575    0.          0.          0.          0.
   0.78295637  0.          0.          0.1026982   0.          0.
  -0.26344001  0.          0.19158399  0.52637777  0.          0.
   0.          0.          0.          0.         -0.22740653  0.
   0.23559595 -0.33836767  0.31298849  0.          0.          0.
   0.          0.          0.          0.        ]]",[-0.65438192],[15],0.38095238095238093,0.380952380952381,0.5,100,100,0
"[[ 1.65474782  0.92450296  0.          0.          0.          0.
   0.          0.          1.11249886  0.19447929  0.          0.
   0.          0.          0.75311728  0.52996187  0.          0.17003325
   0.          0.18587877  0.          0.          0.          0.04385755
   0.         -0.22571642  0.          0.          0.          0.
   0.          0.         -0.63064947  0.          0.01404567 -0.21611998
   0.          0.         -0.20918663  0.          0.          0.
   0.          0.          0.         -0.05050953 -0.1904021   0.29118822
   0.02580465  0.          0.         -0.12201539  0.51874102  0.1508362
  -0.28922877 -0.2498701  -0.51742793 -0.69973582 -0.3065981   0.
   0.          0.          0.          0.67206573  0.          0.
   0.          0.         -0.39568617  0.          0.          0.
   0.          0.          0.          0.03106486  0.         -0.13633855
   0.          0.         -0.21558318  0.          0.          0.
   0.          0.          0.          0.10964872  0.          0.
  -0.56658201 -0.03765719  0.          0.38266289  0.          0.09829607
  -0.03560037  0.         -0.13534523  0.        ]]",[0.17585091],[13],0.5303030303030303,0.5303030303030303,0.5,100,100,0
"[[ 1.69463786  0.          0.74422174  0.0242834   0.          0.
   0.          0.          0.4997432   0.          0.88080309  0.01005814
   0.          0.          0.          0.          0.          0.52381655
   0.          0.          0.          0.          0.          0.
   0.          0.24860357 -0.6123119   0.          0.         -0.03989829
   0.          0.          0.          0.62521334  0.          0.
  -0.44751151 -0.02992865  0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.12153206  0.          0.          0.          0.          0.
  -0.00713779  0.          0.          0.          0.44776911  0.39892289
   0.          0.          0.         -0.22676212  0.          0.
   0.          0.37204745 -0.22649423 -0.66921861  0.43813078  0.
   0.09930967 -0.36706719  0.         -0.45425538  0.          0.
   0.12411797  0.69257727  0.20606486 -0.12050067  0.7146556   0.20442808
   0.          0.         -0.09148899  0.          0.          0.
   0.25757016 -0.01128243 -0.49802995  0.          0.56330599  0.
   0.08781698  0.49163125  0.          0.03337898]]",[0.39689649],[13],0.5416666666666667,0.5416666666666666,0.5,100,100,0
"[[ 1.06410426  0.          0.          0.66679899  0.          0.30382438
   0.44856022  0.537275    0.         -0.0687637   0.          0.
   0.          0.21635294 -0.53928571 -0.17425152 -0.4420385  -0.44026668
  -0.1045297   0.04436153  0.56190594  0.15264104  0.          0.03503484
   0.         -0.08931316  0.         -0.43094258  0.          0.
   0.          0.          0.         -0.2509104   0.38148171  0.26623794
  -0.50181994 -0.07971208  0.          0.          0.          0.10841983
   0.          0.10777624  0.          0.          0.20632586 -0.3170325
   0.          0.49225311  0.          0.         -0.11219715 -0.004975
  -0.10291158  0.          0.          0.          0.38680569  0.
   0.          0.          0.54742525  0.          0.         -0.00749488
   0.33576279  0.          0.          0.         -0.28113706  0.
   0.          0.          0.          0.54080418  0.         -0.32264907
   0.         -0.2306332   0.          0.          0.          0.13971382
   0.         -0.38156063  0.          0.30120753 -0.01155863  0.
   0.          0.12085187  0.          0.18993913  0.          0.
   0.89368701  0.51905594 -0.03773508  0.        ]]",[0.54656311],[15],0.7417582417582418,0.7417582417582418,0.5,100,100,0
"[[ 1.87523697  0.          0.          0.52775249  0.          0.1555192
   0.21026778  0.          0.36757905  0.14435512  0.          0.
   0.          0.63033604  0.          0.00294295 -0.01974727  0.
   0.43120707  0.19193721  0.          0.22243669  0.21309504  0.40196525
   0.30854154  0.33562415  0.          0.          0.          0.
   0.         -0.23980856  0.          0.         -0.07323679  0.05968016
  -0.07776176  0.          0.          0.          0.          0.
   0.03591242  0.25285665  0.          0.          0.          0.
   0.          0.         -0.07076684  0.         -1.05233368 -0.06092584
   0.          0.          0.03136594  0.          0.          0.
   0.          0.76168278  0.          0.          0.26389543  0.
   0.         -0.35638253  0.          0.          0.11267007  0.
   0.          0.          0.59551691  0.42246433  0.          0.43219222
  -0.5695234  -0.36172314  0.          0.         -0.75737456  0.
   0.          0.         -0.07412241  0.40506851 -0.07537864  0.0145271
   0.          0.          0.          0.         -0.3329931   0.
   0.          0.          0.56868705  0.03369716]]",[0.124498],[15],0.5666666666666667,0.5666666666666667,0.5,100,100,0
