Betas,Intercept,Iterations,Balanced Accuracy,Roc_Auc,p,n,d,g
"[[ 0.18268256  0.          0.58533812  0.95625359  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.0995171   0.51876567  0.
  -0.07331833  0.          0.          0.          0.          0.
   0.          0.          0.35711283  0.          0.87527116  0.29289583
   0.          0.          0.          0.          0.         -0.24927092
   0.          0.          0.          0.          0.66115728 -0.13480892
  -0.87588731  0.          0.          0.          0.          0.18370242
   0.          0.          0.          0.         -0.25053418 -0.15509227
   0.          0.45968207  0.          0.08447218  0.          0.61283087
   0.          0.28138634  0.          0.          0.          0.
   0.          0.          0.          0.01548299  0.          0.
   0.          0.          0.20373941  0.          0.          0.
   0.          0.          0.17411907  0.          0.01210329  0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.18448531
   0.          0.          0.          0.        ]]",[-0.23288025],[12],0.5,0.5,0.5,50,100,0
"[[ 0.2391506   0.          0.          0.          0.          0.
   0.          0.26847357  0.          0.          0.          0.
   0.          0.10580704  0.          0.          0.          0.
   0.          0.45307417  0.         -0.11659468  0.          0.
  -0.1869768   0.         -0.02077853  0.          0.          0.
  -0.58979475  0.          0.          0.          0.          0.
   0.         -0.62452349  0.          0.          0.          0.04134721
   0.          0.         -0.53812147  0.16443739  0.          0.79865445
   0.          0.          0.          0.          0.          0.
   0.          0.         -0.11370954  0.          0.          0.
   0.          0.11311113  0.          0.          0.          0.
   0.2858428   0.00372249  0.          0.          0.          0.
   0.          0.          0.34137017 -0.38953161  0.          0.
   0.         -0.15509236  0.          0.          0.          0.
   0.          0.          1.24889797  0.          0.          0.4166078
   0.          0.         -0.81598601 -0.06489596  0.          0.
  -0.19992803  0.          0.          0.        ]]",[0.],[13],0.6666666666666667,0.6666666666666667,0.5,50,100,0
"[[ 0.18002377  0.          0.24134604  0.          0.08809308  0.
   0.         -0.76438228  0.62737507  0.          0.          0.43291959
   0.          0.         -0.27485297  0.          0.          0.
  -0.12595384  0.14900594  0.          0.          0.         -0.29289164
  -0.4511771   0.07569191  0.20098185  0.          0.          0.
   0.12998286  0.          0.          0.30950105  0.          0.13618047
   0.          0.28857381  0.          0.         -0.15153459  0.
   0.          0.          0.          0.          0.42896056  0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.15869471
  -0.75899278  0.          0.          0.          0.          0.
   0.          0.          0.444684    0.         -0.32603492  0.
   0.          0.          0.          0.          0.          0.
   0.          0.         -0.33466182  0.          0.          0.
  -0.33127197  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.13223075  0.
  -0.58826245  0.         -0.30691787  0.        ]]",[0.],[14],0.41666666666666663,0.41666666666666663,0.5,50,100,0
"[[ 0.57138754  0.          0.          0.          0.          0.
   0.          0.57811318  0.31556085  0.37904942  0.52993728  0.
   0.          0.          0.32480831  0.         -0.15209706  0.
   0.          0.          0.          0.          0.          0.04749953
   0.         -0.3639383   0.          0.         -0.1518788   0.
   0.          0.          0.          0.          0.0056249   0.
   0.          0.          0.          0.          0.          0.
   0.33327695  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.         -0.06483236  0.          0.          0.
  -0.86042557  0.          0.          0.          0.          0.27818716
  -0.83817063  0.          0.          0.          0.          0.
   0.          0.          0.          0.         -0.37351033  0.
   0.70846808  0.          0.          0.          0.         -0.31369719
   0.          0.          0.          0.          0.         -0.00121254
   0.          0.          0.          0.          0.01642199  0.
   0.          0.          0.          0.        ]]",[0.73328752],[13],0.4583333333333333,0.4583333333333334,0.5,50,100,0
"[[ 1.60927453  0.          0.43081491  0.          0.          0.
   0.50341502  0.35622814  0.          0.          0.          0.
   0.          0.          0.          0.          0.22762601  0.
  -0.32286851  0.          0.          0.2907862  -0.50537459  0.37661458
   0.          0.12493105 -0.1548069   0.         -0.28639696  0.
   0.          0.          0.          0.0382205   0.          0.
  -0.02206946  0.          0.          0.          0.          0.
   0.          0.05402163  0.          0.          0.          0.02245904
   0.          0.          0.          0.          0.          0.
   0.70837443 -0.00622594 -0.31834232  0.         -0.05131648  0.
   0.          0.          0.          0.          0.          0.
   0.          0.62146354  0.          0.          0.         -0.15719292
   0.          0.01757311  0.          0.         -0.21299378  0.
   0.          0.          0.          0.49345778  0.          0.
   0.          0.08544539  0.          0.          0.          0.
   0.          0.          0.          0.14298885  0.          0.
   0.          0.          0.          0.        ]]",[-0.09944488],[16],0.7,0.7000000000000001,0.5,50,100,0
"[[ 0.          0.          0.          0.11007941  0.          0.
   0.         -0.82696264  0.          0.          0.         -0.25961407
   0.          0.          0.         -0.06124941  0.          0.
   0.09430265  0.47426904  0.02703004  0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.         -0.03321792  0.          0.
   0.          0.48404104  0.          0.1799403   0.          0.
   0.          0.          0.          0.         -0.57960202  0.
   0.57390963  0.          0.43378832  0.          0.          0.
   0.         -0.31245395  0.          0.09117539  0.         -0.25037795
   0.04009425 -0.49205613  0.1205383   0.          0.          0.14958292
   0.         -0.09308841  0.41765977  0.         -0.00586578  0.
   0.          0.56293115  0.          0.          0.          0.
   0.18059027  0.          0.          0.          0.          0.
   0.         -1.17012575  0.          0.        ]]",[0.06606568],[12],0.4,0.39999999999999997,0.5,50,100,0
"[[ 1.35620126  0.          0.92285761  0.          0.15240153  0.25236366
   0.37284971  0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.27011043  0.          0.         -0.10297654  0.
   0.08695053  0.          0.          0.06542912  0.          0.
   0.          0.          0.18779836  0.          0.          0.
   0.          0.          0.         -0.28642799  0.          0.611635
   0.          0.          0.          0.          0.          0.
  -0.05233866  0.          0.         -0.11623509  0.         -0.1366031
   0.5673988   0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.18274445  0.
   0.          0.          0.         -0.34483378 -0.20663014  0.
  -0.41720858  0.          0.          0.         -0.17622095 -0.23116067
   0.          0.          0.          0.         -0.02994401 -0.74018967
   0.         -0.00394842  0.          0.        ]]",[-0.01438594],[14],0.8571428571428572,0.8571428571428572,0.5,50,100,0
"[[ 1.79692572  0.          0.          0.          0.          0.62559007
   0.          0.          0.          0.62996919  0.          0.26826139
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.         -0.67741054  0.
   0.          0.         -0.34482684  0.          0.          0.15662691
   0.          0.          0.          0.          0.19932247  0.
   0.          0.          0.04292719  0.          0.          0.
   0.12421525  0.          0.          0.          0.          0.02449553
   0.22026493 -0.19306135  0.          0.          0.          0.
   0.55897739  0.          0.          0.          0.         -0.07875522
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.         -0.29576461  0.          0.          0.          0.
   0.          0.          0.0478537   0.        ]]",[-0.78656217],[11],0.5625,0.5625,0.5,50,100,0
"[[ 0.68097825  1.32890907  0.          0.          0.7563554   0.51609313
   0.          0.          0.11783294  0.          0.          0.
  -0.18859969  0.          0.          0.          0.         -0.63011193
   0.          0.          0.40669344  0.          0.08730796 -0.08226049
   0.          0.          0.         -0.07399133  0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.09134687
   0.          0.          0.          0.          0.          0.
  -0.66702094  0.          0.          0.          0.          0.21701077
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.         -0.07169255  0.
   0.          0.          0.          0.         -0.40994839  0.14316786
   0.          0.11881984  0.          0.          0.          0.
  -0.48512107 -0.35032783  0.          0.          0.          0.
   0.          0.          0.0186272   0.        ]]",[-0.95493533],[14],0.6904761904761905,0.6904761904761906,0.5,50,100,0
"[[ 0.6222584   0.          0.          0.          0.1260082  -0.19818628
   0.          0.          0.          0.          0.          0.02609997
   0.17176007  0.          0.          0.          0.13868876  0.21434403
   0.          0.          0.29089575  0.          0.          0.
   0.          0.          0.          0.          0.          0.
   0.          0.          0.43372262  0.43945785  0.          0.
  -0.89892987  0.63025046  0.          0.          0.          0.
   0.          0.          0.20647999  0.04533715  0.          0.
   0.          0.          0.          0.          0.02797404  0.
   0.          0.          0.          0.         -0.01035798  0.
   0.          0.          0.          0.          0.          0.
  -0.44942997 -0.49204841  0.          0.          0.          0.
   0.          0.07634861 -0.02760018  0.5687711   0.          0.
   0.          0.          0.38679957  0.          0.         -0.03478293
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.          0.80206231
   0.          0.          0.01617862  0.        ]]",[0.94769026],[14],0.7142857142857143,0.7142857142857143,0.5,50,100,0
