Betas,Intercept,Iterations,Balanced Accuracy,Roc_Auc,p,n,d,g
"[[1.03398813 0.73729816 0.27400621 0.10264068 0.28048999 0.
  0.         0.10682258 0.         0.         0.00449789 0.
  0.1048415  0.13367425 0.         0.23672956]]",[-0.10571619],[8],0.6499999999999999,0.65,0.5,100,16,0
"[[ 1.09563177  0.6306676  -0.35457375  0.5337169   0.16824381 -0.27956798
  -0.30456064  0.03148917  0.          0.10588986  0.4320202   0.1008134
   0.18868042  0.35733275  0.33812608  0.21841449]]",[0.33258913],[12],0.55,0.5499999999999999,0.5,100,16,0
"[[ 1.35875669  0.26745307  0.20783164  0.84082425  0.          0.
   0.         -0.08188138  0.23814296  0.          0.          0.02888949
   0.04173834 -0.02609729  0.          0.68622561]]",[0.],[9],0.5416666666666667,0.5416666666666667,0.5,100,16,0
"[[ 1.70482071  0.81693679  0.16528076  0.21199337  0.05855287  0.52536005
   0.73651321  0.          0.          0.63974718  0.          0.
   0.          0.78542491 -0.33666877  0.        ]]",[0.23084008],[10],0.8500000000000001,0.85,0.5,100,16,0
"[[ 1.1210984   0.49103603  0.          0.          0.08409384  0.74089157
   0.30423702  0.16686156  0.08444757  0.23717063  0.15810569  0.44062252
  -0.24664565 -0.21550142  0.30259549 -0.27937783]]",[0.07002251],[9],0.8541666666666667,0.8541666666666667,0.5,100,16,0
"[[ 0.68152614  0.30892927  0.27635546  0.03690098  0.07413578  0.1357116
   0.05784031  0.40691497  0.58447165  0.41448991  0.         -0.15730272
   0.          0.05727914  0.07028169  0.06685506]]",[-0.01762488],[9],0.6703296703296704,0.6703296703296703,0.5,100,16,0
"[[ 0.68132712  0.17561595  0.76167247  0.27554772 -0.21714368  0.
  -0.07760807  0.57132011 -0.10987628  0.20919061  0.49911903  0.16046539
   0.0187589   0.10430752  0.20545001  0.        ]]",[-0.06414423],[10],0.8452380952380952,0.8452380952380953,0.5,100,16,0
"[[1.25730932 0.29437841 0.1866946  0.77994726 0.34965322 0.
  0.2758723  0.28203935 0.47628959 0.21873879 0.19598852 0.
  0.42147246 0.12344443 0.         0.20447844]]",[0.],[10],0.7777777777777778,0.7777777777777778,0.5,100,16,0
"[[1.38973853e+00 6.54870537e-01 2.86935492e-01 4.42907253e-01
  1.69375418e-01 0.00000000e+00 8.68075287e-01 1.89311730e-01
  0.00000000e+00 0.00000000e+00 1.11049554e-01 0.00000000e+00
  3.91965421e-01 2.74837307e-01 3.34742716e-02 1.05001153e-03]]",[0.5045597],[9],0.7916666666666667,0.7916666666666666,0.5,100,16,0
"[[ 1.42983588  0.0247825   0.32660775 -0.06171686  0.66921679  0.61334865
   0.10397258  0.          0.56019288 -0.23323901  0.          0.09713557
   0.          0.06192167  0.04393608  0.        ]]",[0.45024547],[9],0.6666666666666666,0.6666666666666667,0.5,100,16,0
"[[ 1.88766313  0.41931702  1.4432602   0.52508146  0.65715896  0.15043382
   0.         -0.16206701  0.45179554  0.75747138  0.          0.55063532
  -0.10028488  0.6187751  -0.00626891  1.60372087]]",[0.66654973],[14],0.7083333333333333,0.7083333333333334,0.5,100,16,0
"[[ 1.61888187  0.7279745   0.          0.03904683  0.          0.17657475
   0.0285478   0.13342605 -0.17002181 -0.01065152 -0.07289765 -0.1909088
   0.1335674   0.42304712  0.40087355 -0.14608623]]",[0.05567228],[10],0.65,0.65,0.5,100,16,0
"[[ 1.65976842  0.4051541   0.39314758  1.06058606  0.79711746  0.
   0.50779757  0.          0.22266293 -0.47301456  0.          0.
   0.60485504  0.07025621  0.09719806  0.48563386]]",[-0.42282105],[11],0.6648351648351649,0.6648351648351649,0.5,100,16,0
"[[ 0.96473114  0.22243595  0.9801549   0.70302809  0.05380895  0.
  -0.51722334  0.33251005 -0.01862641 -0.71178915 -0.11601255  0.17297983
   0.          0.         -0.15105465  0.31108474]]",[-0.38126867],[11],0.6,0.6,0.5,100,16,0
"[[ 1.00793892  0.03309724  0.08784762 -0.02500623  0.45150601  0.39400813
   0.07591112  0.         -0.15546629  0.          0.          0.08764779
   0.          0.2638412   0.00120586  0.        ]]",[-0.5730002],[10],0.6414141414141414,0.6414141414141414,0.5,100,16,0
"[[ 1.50253974  0.17639626  0.77320025  0.          0.01416311  0.0068363
   0.23706471  0.04153573 -0.44839117  0.11133653  0.13139921 -0.21731565
   0.50975668  0.          0.37432952  0.36111044]]",[0.31543978],[11],0.7626262626262625,0.7626262626262625,0.5,100,16,0
"[[ 0.96429058  0.68375776 -0.03841028  0.          0.76292634  0.20949271
   0.16547996  0.         -0.14666741  0.89106707  0.37140791  0.28112131
  -0.10523083  0.         -0.51124536 -0.2785461 ]]",[0.5134925],[12],0.5505050505050505,0.5505050505050505,0.5,100,16,0
"[[ 0.5807446   0.20302853  0.          0.47129204 -0.10780821  0.10028164
   0.41568986 -0.07418469  0.          0.          0.4216323   0.04219728
   0.          0.3068775   0.          0.03701244]]",[0.25636382],[8],0.75,0.75,0.5,100,16,0
"[[ 2.54298375  0.          0.33736893  0.05984156  0.32894672  0.
   0.          0.36713141  0.          0.18211288  0.01125412  0.35329032
   0.18486693  0.18094919  0.         -0.58603068]]",[-0.49046448],[11],0.9583333333333333,0.9583333333333333,0.5,100,16,0
"[[ 1.09306379  0.81624222  0.          0.14058652  0.03183548  0.15725317
  -0.0190883  -0.08630992 -0.01703425  0.05699192  0.02151178  0.42227669
   0.05057823 -0.0724554   0.02130514 -0.50214777]]",[-0.05247276],[9],0.6313131313131313,0.6313131313131313,0.5,100,16,0
"[[ 0.85754147  0.7738742   0.16737272  0.26537868  0.27525865  0.04852175
   0.          0.         -0.31391737  0.         -0.42952798  0.
   0.24286508  0.05573542  0.38941847  0.08330007]]",[-0.22151019],[9],0.6414141414141414,0.6414141414141414,0.5,100,16,0
"[[ 2.01481807  0.          0.          0.10218152  0.          0.24408659
   0.01953294  0.          0.57526511  0.0355491   0.42750658 -0.02360826
  -0.10155243  0.         -0.00956115  0.27008664]]",[-0.30189977],[10],0.6,0.5999999999999999,0.5,100,16,0
"[[ 1.83790469  1.21381829 -0.13982326  0.20136892  0.15198588  0.14914134
  -0.25040349 -0.10070419 -0.35802694  0.          0.0518598   0.00414525
  -0.30102748  0.05360526  0.         -0.32846908]]",[-0.19062901],[11],0.7916666666666667,0.7916666666666667,0.5,100,16,0
"[[ 1.00092053  0.62998308  0.15426685  0.40809702  0.         -0.16186887
  -0.19470782  0.          0.03257865 -0.2098274   0.31058417  0.
   0.04979852  0.          0.04143663  0.36367975]]",[0.15306132],[8],0.7380952380952381,0.7380952380952381,0.5,100,16,0
"[[ 1.94678971  1.36517303 -1.00760404  0.          0.1491815   0.59703123
   0.37105608  0.46938235  0.40600177  0.45328607  0.24051032  0.0926011
   0.2998921   0.48683806  0.         -0.14669836]]",[0.],[11],0.898989898989899,0.898989898989899,0.5,100,16,0
"[[ 0.68046934  0.14543117  0.60552299  0.20878723  0.18250451  0.23571951
   0.3566674   0.38879836  0.10318324 -0.0557246   0.4962762   0.06485374
   0.          0.         -0.31249922  0.07798774]]",[0.13680655],[9],0.5934065934065934,0.5934065934065934,0.5,100,16,0
"[[ 1.18788951  0.52807242  0.44209429  0.0082412   0.         -0.09161324
   0.53042618  0.57167653  0.418531    0.01650121 -0.09266117  0.
   0.2982209   0.07645268  0.11146968  0.46342872]]",[0.],[10],0.6875,0.6875,0.5,100,16,0
"[[ 1.45002341  0.47215005  0.26601239  0.29880574 -0.46536605  0.3558678
  -0.02718472  0.35237008  0.18919268 -0.09870884  0.33625577  0.19382325
   0.19064838  0.          0.          0.01976511]]",[-0.1250639],[10],0.65625,0.65625,0.5,100,16,0
"[[ 1.98459731  0.30143769  0.          0.         -0.25767625  0.26482004
   0.20486738  0.09125368 -0.29450763  0.14989388  0.          0.
   0.          0.         -0.50320721 -0.01953587]]",[-0.27141766],[10],0.6904761904761905,0.6904761904761905,0.5,100,16,0
"[[ 0.8631916   0.1269734   0.68216581  0.25316799  0.10125496  0.59739205
  -0.24815453 -0.15873372  0.00563461  0.34989019 -0.05751389  0.42221101
   0.          0.         -0.49023578 -0.11507255]]",[0.13138957],[10],0.45833333333333337,0.45833333333333337,0.5,100,16,0
"[[ 1.9942924   0.67470597  0.40717803  0.3794759   0.         -0.01795922
   0.4573897   0.06662731  0.01665493  0.04998919  0.          0.25859609
   0.          0.6532668   0.31270775  0.45142703]]",[-0.43360555],[9],0.5606060606060606,0.5606060606060606,0.5,100,16,0
"[[ 1.29363723  0.29949837  0.45063716  0.32571703  0.36681143  0.23881721
   0.01632235  0.07889652  0.05536837  0.08867264  0.40778511  0.16790758
   0.36100772  0.32593711  0.         -0.03628097]]",[0.2301171],[11],0.7,0.7,0.5,100,16,0
"[[ 0.61481391  0.84056443  0.30090275  0.33398924  0.66168317  0.50367673
   0.05446271  0.44620609  0.23310633  0.          0.970197   -0.1734869
   0.         -0.48537879 -0.56000275 -0.08903999]]",[-0.40843431],[11],0.4292929292929293,0.4292929292929293,0.5,100,16,0
"[[ 1.09854763  0.40693744  0.29195384  0.          0.25212026  0.23860126
  -0.26180623  0.          0.22248619  0.42836839  0.          0.
   0.31760028  0.1124258   0.08890635  0.        ]]",[0.],[8],0.7,0.7,0.5,100,16,0
"[[ 1.15634819  0.54726909  0.21680443 -0.34452665  0.86217058  0.50843412
  -0.29848012 -0.34629329  0.25289193  0.          0.          0.75163654
   0.         -0.61790935 -0.0415156  -0.25247464]]",[0.43430359],[10],0.6,0.6,0.5,100,16,0
"[[ 1.77601265 -0.19579847  0.40784753  0.85841064  0.41060304  0.
   0.          0.          0.08947653  0.          0.          0.16024567
  -0.02481202 -0.08271291  0.          0.        ]]",[-0.0926673],[10],0.6904761904761905,0.6904761904761905,0.5,100,16,0
