Betas,Intercept,Iterations,Balanced Accuracy,Roc_Auc,p,n,d,g
"[[ 1.88083869  0.61008825  0.19353258  0.71820601 -0.22067749  0.03308783
   0.         -0.067462    0.          0.17460356 -0.38767874 -0.35324194
  -0.48753865  0.67474937  0.9241572  -0.26866415  0.          0.56028423
   0.          0.          0.03723987  0.09511271  0.16229141  0.
  -0.37188418  0.         -0.20274741 -0.25858127  0.33805544 -0.53372445
   0.         -0.05878314]]",[-0.093961],[14],0.75,0.75,0.5,100,32,0
"[[ 1.3475698   0.59587766  0.35982815  0.63479455  0.27233309  0.21886003
   0.40643061  0.08163213  0.          0.37937681  0.04283353  0.
   0.          0.22119675 -0.17975516  0.33680068 -0.40685919  0.54815657
   0.40775472  0.17615397  0.0819469  -0.0984558   0.27082579  0.
   0.00969935  0.         -0.2995132   0.          0.          0.06376269
   0.34446062  0.        ]]",[-0.10588843],[13],0.7708333333333333,0.7708333333333333,0.5,100,32,0
"[[ 1.88004735  0.56071444  0.64167856  0.21371592  0.28968162  0.32794925
   0.         -0.28359248  0.          0.71332784  0.          0.50077826
   0.46009982  0.20978405  0.08410717 -0.30406134  0.31952755  0.30834087
   0.16295811  0.          0.58739791  0.          0.          0.
  -0.07200603 -0.21766907  0.22642807  0.32847946  0.39076181 -0.00710734
  -0.01756385 -0.09393095]]",[-0.19509758],[13],0.75,0.75,0.5,100,32,0
"[[ 1.19655925  1.63523068  0.98144801 -0.45244099  0.01404536  0.56036993
  -0.17240466 -0.25017532  0.01087782  0.05244418  0.          0.49734898
   0.         -0.11745769 -0.47698241  0.64379517  0.          0.
  -0.07203936  0.25222014  0.          0.         -0.07436348 -0.14779538
   0.          0.24711756 -0.26221546  0.          0.16814501  0.
   0.10452965  0.48456059]]",[-0.27057543],[14],0.6703296703296704,0.6703296703296703,0.5,100,32,0
"[[ 0.97289838  0.44759811  0.54715385  0.37418161  0.4092711   0.19895256
   0.69187614  0.35364948  0.          0.54775467  0.06043114  0.16668813
   0.0416791   0.05551341 -0.10626448  0.34457082  0.14596554 -0.06826477
  -0.20619763  0.45295433  0.         -0.04195694  0.          0.11747844
   0.51905474 -0.20294284  0.54084357  0.         -0.42787673  0.
   0.12506223  0.21056725]]",[0.],[12],0.7525252525252526,0.7525252525252525,0.5,100,32,0
"[[ 1.32654907 -0.2293243   0.          0.08551128  0.65484599  0.
   0.24268384  0.          0.24997422  0.50168534 -0.18109145  0.10342504
   0.          0.         -0.23589217 -0.06140006 -0.41094125  0.25977925
  -0.07801205  0.257969    0.24757079  0.         -0.27709626  0.41461147
   0.53538053 -0.26641176  0.08930522 -0.14689658 -0.20913565  0.11504559
   0.15982472  0.        ]]",[0.05272809],[14],0.5934065934065934,0.5934065934065934,0.5,100,32,0
"[[ 0.85500336  0.03631869  0.30893153  0.30014629  0.          0.
   0.16979425  0.04975929  0.          0.34049285  0.02376772 -0.07506756
   0.09928693  0.          0.20204831  0.         -0.03292281  0.
   0.1176023   0.         -0.21234523  0.35812126  0.42075991  0.25673525
  -0.13574299  0.4728026  -0.365412    0.07153105  0.07772542  0.35426903
   0.         -0.30380015]]",[0.],[12],0.606060606060606,0.606060606060606,0.5,100,32,0
"[[ 1.23637141  0.         -0.10990246  0.34803187  0.          0.76227874
   0.          0.02252318  0.          0.          0.          0.24221924
   0.18129642  1.33393778 -0.12524561 -0.49906702  0.         -1.08353066
  -0.22681269  0.          0.         -0.23943454  0.40704694  1.47026766
   1.12333802  0.30532195  0.          0.         -0.15624313  0.06980789
   0.46907607  0.20692416]]",[0.],[13],0.6000000000000001,0.6,0.5,100,32,0
"[[ 1.17302948  0.84700321  0.70697034 -0.0435089   0.          0.17528422
   0.39949302  0.03068677  0.60342981  0.5023939   0.3857391   0.13952213
   0.          0.68139565 -0.14295895  0.          0.28356718  0.25192339
   0.04885843  0.04769212  0.06845005  0.38684748  0.          0.
   0.11518293  0.13968456  0.11880971  0.04515475  0.00302354 -0.04638984
   0.17745304 -0.15038475]]",[-0.05109496],[13],0.5606060606060606,0.5606060606060607,0.5,100,32,0
"[[ 0.81099392 -0.04477977  0.4167472  -0.20110171  0.46811593  0.
   0.          0.01826186  0.26372421  0.          0.          0.27964319
   0.75054247 -0.29674839  0.67444201  0.          0.         -0.08145743
   0.56463582 -0.20508906  0.18446654  0.          0.15599566 -0.24881054
   0.18538548  0.03825471  0.          0.13968802  0.5507748  -0.307101
   0.22216228 -0.22396103]]",[0.01641869],[12],0.6978021978021978,0.6978021978021978,0.5,100,32,0
"[[ 1.63781798  0.49379056  0.658554    0.67846079  0.99379292  0.58286026
   0.36917259  0.          0.14183863  0.04879079 -0.14722037  0.43020094
   0.25149265  0.          0.90964918  0.          0.17217773  0.
  -0.39257779  0.35738053 -0.32304368 -0.11495698  0.37681244 -0.73134517
  -0.08007912  0.44919113  1.14589887  0.31994034 -0.0096886   0.63524835
  -0.31056984  0.        ]]",[0.],[14],0.6515151515151515,0.6515151515151515,0.5,100,32,0
"[[ 1.48742745  0.56918904  0.61964829  0.95522404  0.          0.72243757
   0.48510804  0.12997658  0.27462648  0.40322905  0.          0.20314232
  -0.39331063  0.18047592  0.84599681  0.         -0.377754    0.
   0.          0.05380187  0.          0.          0.47510256  0.11440661
   0.03127258  0.          0.20724526  0.          0.24459077  0.
  -0.56440382  0.02218068]]",[-0.12038509],[13],0.5476190476190476,0.5476190476190477,0.5,100,32,0
"[[ 1.09170331  0.92752521  0.          0.          0.34806676  0.15219118
   0.35264101  0.          0.          0.2337379   0.          0.
   0.25308263  0.34399036  0.         -0.66240134  0.20579128  0.
  -0.22793925 -0.05885459  0.13772051 -0.38176572 -0.30989847  0.
  -0.53036128  0.         -0.80909371  0.03409592 -0.18828794 -0.11075059
  -0.17476589  0.14422296]]",[-0.17697239],[12],0.625,0.625,0.5,100,32,0
"[[ 1.21242123  0.60009908  0.68321993  0.66807494  0.30332525  0.
   0.28858101  0.30111123  0.52784888  0.16384704  0.         -0.137002
  -0.88276539  0.          0.08840679  0.         -0.33093338  0.
   0.07678653  0.36655301  0.02206816  0.48915888  0.15592909 -0.23588673
   0.79553536 -0.27473947  0.19366625  0.3319157  -0.10419059 -0.02287841
  -0.01022971  0.        ]]",[-0.63533526],[13],0.7525252525252526,0.7525252525252525,0.5,100,32,0
"[[ 0.95145849  1.12563903  0.          0.         -0.15223692  0.
   0.08513193 -0.40504807  0.          0.25232856  0.          0.61137649
   0.          0.44056871  0.         -0.70657826  0.05779042  0.
  -0.45394977 -0.08328669  0.         -0.02952351  0.31828353 -0.06486707
   0.          0.4463949   0.17630025  0.          0.          0.
  -0.23245091  0.19142524]]",[0.12463501],[13],0.5,0.5,0.5,100,32,0
"[[ 1.05427852  0.6931756  -0.05264281 -0.12551828  0.68424092  1.23771923
   0.          0.          0.36630858  0.30027657  0.60970386 -0.21501305
   0.42993439  0.          0.31103383  0.         -0.27047915  0.41172491
  -0.07718763 -0.27147913  0.6076109   0.          0.13994821 -0.09095268
   0.04130219  0.1209135  -0.91276354  0.0933697  -0.48829755  0.
   0.52986182 -0.4005582 ]]",[0.],[13],0.5,0.5,0.5,100,32,0
"[[ 0.94629096  0.52698344  1.18423535  0.          0.8188134   0.70097828
   0.08524949  0.32848119  0.          0.19856884  0.30597833 -0.02499235
   0.          0.43060134 -0.43215263  0.32657763  0.43868849 -0.45558942
   0.         -0.11626889  0.02901992  0.09750403  0.33877012  0.
   0.08998042  0.          0.          0.61958187  0.          0.
   0.         -0.00925983]]",[0.4332336],[12],0.5934065934065934,0.5934065934065934,0.5,100,32,0
"[[ 1.94064069  1.09314814  0.476232    0.31666754  0.49464983  0.24112871
   0.          0.39557542  0.          0.35401006  0.         -0.2054887
   0.1491688  -0.19665538  0.         -0.04742725  0.08260456 -0.25248461
   0.04848332  0.         -0.31974716  0.9246234   0.35983743  0.
   0.         -0.37807731  0.16798647  0.15693116  0.25807799  0.
   0.          0.11313133]]",[-0.00021972],[13],0.7,0.7,0.5,100,32,0
"[[ 1.68162279  0.          0.62891854 -0.30487754  0.20352753  0.26127062
   0.55213414  0.58853048  0.55488966  0.          0.0895842  -0.11935294
  -0.4329058  -0.33457804 -0.13196264 -0.03866347  0.47253337  0.26634417
   0.88262635 -0.17622084  0.2992166   0.          0.          0.
   0.          0.11163583 -0.20535913  0.          0.         -0.00294777
  -0.5569997   0.        ]]",[0.6388447],[13],0.7424242424242424,0.7424242424242425,0.5,100,32,0
"[[ 0.5814306   0.61099094  0.09845413  0.37003681  0.          0.
   0.25108096  0.21353126  0.20753189 -0.2023555  -0.37734552  0.
  -0.2586755   0.08594146  0.07398299 -0.00814828  0.30119865  0.
   0.          0.          0.         -0.04776005  0.          0.
   0.01011699  0.35927576  0.08766972  0.25578855  0.          0.
  -0.21416008 -0.70547471]]",[0.1673993],[11],0.554945054945055,0.554945054945055,0.5,100,32,0
"[[ 1.26332708  0.84971789  0.          0.          0.47971229  0.51842864
   0.41109569  0.24588341  0.39052466  0.          0.09065173 -0.27691447
   0.19138245 -0.14232718 -0.29017971  0.          0.33930945  0.
  -0.47256333 -0.18944793  0.02914181  0.21246662  0.2207083   0.
   0.1192077  -0.0672852   0.7295767   0.12754928  0.4772702   0.19145055
  -0.44908178  0.18638326]]",[0.03619765],[13],0.6318681318681318,0.6318681318681318,0.5,100,32,0
"[[ 2.23900189  1.42085239  0.96101078  0.02149873 -0.33322293  0.
   0.03633311  0.         -0.12901706  0.22247902  0.10175233  0.
   0.05112793  0.29108298 -0.11256838  0.23688534  0.          0.17458981
   0.03434435 -0.35523538 -0.13667424  0.16897028  0.14195661  0.
   0.         -0.30933292  0.41391131  0.379778    0.          0.2767907
   0.34449168  0.        ]]",[-0.48121377],[13],0.7023809523809523,0.7023809523809523,0.5,100,32,0
"[[ 1.83560618  0.89108184  0.63008198  0.61059313 -0.0968816   0.35158218
   0.39729724  0.18389919 -0.4137633   0.17539408 -0.1245537   0.48863208
   0.3890157   0.65254021  0.49681769  0.          0.          0.
   0.          0.06245109  0.33525688  0.61913199  0.          0.
   0.87147929  0.          0.          0.          0.71962728  0.
  -0.36000936  0.10530132]]",[0.24251102],[14],0.7,0.7,0.5,100,32,0
"[[ 1.46552106  0.72552932 -0.01523431  0.          0.56607042  0.34889901
   0.12605812  0.          0.11507853  0.4864295   0.69105479 -0.18543762
   0.          0.36841619  0.          0.60656113  0.          0.
   0.          0.24416359  0.11660795  0.07029357  0.         -0.26769841
   0.32095134 -0.04598186  0.29889781 -0.03901435  0.48813141  0.38967554
   0.          0.        ]]",[0.21453852],[13],0.6071428571428572,0.6071428571428571,0.5,100,32,0
