Betas,Intercept,Iterations,Balanced Accuracy,Roc_Auc,p,n,d,g
"[[ 0.81045301  0.63688108  0.38458169  0.24562652  0.          0.08563839
   0.33769699  0.05909222  0.43188175 -0.00943674 -0.07724863  0.
  -0.42272375 -0.0218912   0.0450643   0.0830059   0.04951389 -0.06889924
  -0.59465824  0.         -0.01028078  0.41671421  0.16305843  0.
   0.04748888  0.22712583  0.          0.41246059  0.          0.
   0.16358783  0.17832604]]",[-4.122807],[17],0.49732620320855614,0.49732620320855614,0.05,1000,32,0
"[[ 1.17090914  0.32812999  0.13958074  0.07289236  0.42243542 -0.10679645
   0.15237392 -0.04815661  0.18582794  0.33084004  0.11482968  0.35274696
   0.26422343  0.19027464 -0.03434032  0.10427071  0.18746258  0.38079728
  -0.21402072 -0.13789452  0.10064837  0.30488257  0.02853839 -0.00449801
   0.03081498  0.12896882  0.19641396  0.10433983  0.02738929 -0.1458934
  -0.00871219  0.        ]]",[-4.01531069],[17],0.5,0.5,0.05,1000,32,0
"[[ 1.09067531  0.2956207   0.23255122  0.12316068  0.2914885  -0.15895334
   0.25701044 -0.06083528  0.          0.46647252  0.17339261 -0.13911784
  -0.22742813  0.17871191  0.10134152  0.06831818  0.30750894  0.21094252
   0.18032838  0.          0.28192229  0.06520077 -0.06400782 -0.20960047
   0.04327067 -0.35882584  0.27966225  0.         -0.39588421 -0.12932954
   0.         -0.21866073]]",[-3.97642617],[18],0.4973958333333333,0.4973958333333333,0.05,1000,32,0
"[[ 0.88587531  0.12794177  0.42722243  0.22033103  0.30758496  0.20188446
   0.12491038  0.06667317 -0.02208137  0.22129369  0.07834301 -0.21838373
   0.12103507  0.31922736  0.05073263  0.19727609 -0.00996628 -0.05955458
   0.05390193 -0.14431527  0.03003177  0.10179347  0.05731239 -0.00660033
   0.29711055 -0.02085287 -0.02725199 -0.00551398  0.05201589  0.07697507
   0.0959568   0.02923564]]",[-3.54989475],[15],0.49732620320855614,0.49732620320855614,0.05,1000,32,0
"[[ 0.97896146  0.47407839  0.24513646  0.32405015  0.23907087  0.1175933
   0.07065161  0.34861589 -0.05857368  0.          0.02150135 -0.11160937
   0.14470055 -0.0199383  -0.01959758  0.05413942  0.11421232 -0.10973324
   0.1939294   0.06775167  0.          0.16275062  0.          0.16135277
   0.          0.03441261 -0.30593897  0.01627617 -0.08672744 -0.41642477
   0.         -0.08099432]]",[-3.61290936],[15],0.49230769230769234,0.49230769230769234,0.05,1000,32,0
"[[ 1.08620797  0.55270447  0.10626886  0.09724915  0.12380947  0.
  -0.07221861  0.07581991  0.07846279 -0.06726122  0.34652787 -0.38572937
   0.21897499  0.59763573  0.10796916  0.          0.          0.06395946
   0.          0.05070164  0.05524252 -0.14179594  0.09552884 -0.08051666
   0.16311604 -0.10081914  0.0333654   0.22757679 -0.20480678  0.20253583
   0.16165639  0.07210495]]",[-4.32035274],[18],0.5,0.5,0.05,1000,32,0
"[[ 0.56783165  0.40828578  0.30743391 -0.12720351  0.32287908  0.17614774
   0.15254285  0.03582545  0.28606791 -0.21691195  0.20197342  0.16176691
   0.         -0.09710865  0.10459695  0.          0.005984    0.12637416
   0.07688464  0.          0.08405355  0.10804859 -0.00348474  0.15812109
   0.26020763  0.         -0.12000066 -0.03880366  0.         -0.12718177
   0.          0.31882684]]",[-3.53379314],[14],0.5,0.5,0.05,1000,32,0
"[[ 0.80119172  0.46931626  0.37098831  0.24106362  0.40948468  0.07085564
   0.          0.0152376  -0.29024327  0.         -0.00917374  0.06587364
   0.26110586 -0.00749052  0.23781966  0.12602766 -0.01620552 -0.04771659
   0.04567197 -0.00806423 -0.0234852   0.          0.03464545 -0.02991437
   0.09863532  0.22659168  0.2621018   0.         -0.13304819  0.
  -0.2245363  -0.06866337]]",[-3.63772856],[16],0.4973958333333333,0.4973958333333333,0.05,1000,32,0
"[[ 0.99842285  0.68596126  0.37088815  0.47715071  0.16018615 -0.0375511
   0.17888435  0.07653639  0.0585854   0.          0.24972587  0.02176704
   0.24995696 -0.01388946 -0.07840965  0.12450706  0.18065444  0.
  -0.07634709  0.36386586 -0.30611147  0.19208631  0.07946331  0.
  -0.0827793  -0.23322368  0.40025643 -0.28646815 -0.00658367  0.08386095
   0.         -0.44911114]]",[-4.30852595],[18],0.49732620320855614,0.49732620320855614,0.05,1000,32,0
"[[ 1.21180261e+00  4.87975924e-01  6.26102770e-01  1.18899079e-01
  -7.84172252e-04  4.98333064e-02  1.19012394e-01  1.28504191e-01
  -1.35087825e-01  1.28460097e-01  4.38095346e-03  2.59585906e-01
   1.67951222e-01  1.45737318e-01 -1.35523895e-01  3.97168214e-02
   1.48607588e-01  1.93196068e-01 -2.83592387e-02 -1.54976464e-01
  -8.89183246e-02  0.00000000e+00  2.43215111e-01  5.53184179e-02
   0.00000000e+00 -5.18552379e-02  1.22973157e-01 -6.77747495e-02
   4.70955620e-01  1.74743830e-01 -1.09252090e-01 -5.77688894e-02]]",[-4.02261792],[17],0.5454545454545454,0.5454545454545454,0.05,1000,32,0
